Symbol,MarketCap,Price,Circulating Supply,Volume24h,percent_1H,percent_24H,percent_7D,Date
USDT,1641594454.2,1.0145,1618090823,5588843520.0,-2.06,-1.44,1.05,20180117
BNB,1406310957.14,14.2,99014000,299410688.0,2.72,6.76,-14.95,20180117
DOGE,862812895.23,0.007648,112816798328,58846156.0,3.12,15.11,-39.0,20180117
BTC,192907852401.16,11474.92,16811262,15020385280.0,-0.11,1.98,-15.65,20180118
ETH,100588605274.41,1036.28,97066737,5938323968.0,0.33,2.59,-12.8,20180118
XRP,61850160206.83,1.5966,38739142811,9110437888.0,0.14,24.4,-20.15,20180118
ADA,17107805992.62,0.6598,25927070538,1285494272.0,0.55,5.54,-6.35,20180118
LTC,10570953578.88,192.84,54818158,936784320.0,0.26,3.3,-17.07,20180118
USDT,1655482253.35,1.0231,1618090823,4302298112.0,0.17,0.37,1.79,20180118
BNB,1413955398.15,14.28,99014000,204899472.0,1.08,0.25,-34.15,20180118
DOGE,899102934.66,0.007969,112826007997,56599336.0,0.24,5.39,-31.85,20180118
BTC,195159517465.75,11607.44,16813312,10740380672.0,1.14,1.07,-17.33,20180119
ETH,100883590782.23,1039.1,97087347,4084451840.0,0.77,0.31,-18.59,20180119
XRP,60125049441.01,1.552,38739142811,3697432320.0,1.0,-3.64,-24.06,20180119
ADA,16865499103.03,0.6505,25927070538,584574336.0,2.07,-0.57,-27.19,20180119
LTC,10580762476.21,192.96,54832908,560283904.0,1.2,0.01,-18.77,20180119
USDT,1625441144.88,1.0045,1618090823,2876985344.0,-0.27,-1.66,-0.23,20180119
BNB,1479327757.69,14.94,99014000,139882256.0,1.15,5.22,-33.72,20180119
DOGE,888117850.33,0.007871,112839882231,30335712.0,0.74,-0.79,-39.64,20180119
BTC,216907738065.0,12899.21,16815587,11801652224.0,-0.7,11.0,-10.11,20180120
ETH,112174783671.04,1155.15,97108134,3975190528.0,-0.49,10.77,-17.3,20180120
XRP,61154291596.05,1.5786,38739142811,2346453248.0,-0.02,2.17,-20.5,20180120
ADA,18343659988.54,0.7075,25927070538,738799232.0,-0.64,8.58,-17.34,20180120
LTC,11573780371.37,211.02,54847383,540785984.0,-0.6,9.19,-17.65,20180120
USDT,1619883170.42,1.0011,1618090823,2942781696.0,-0.25,-0.58,-0.29,20180120
BNB,1603069195.8,16.19,99014000,156745136.0,-0.76,8.16,-25.85,20180120
DOGE,953343815.77,0.008448,112853811878,22974138.0,-0.22,6.68,-34.47,20180120
BTC,195089979981.45,11600.13,16817912,9935177728.0,1.78,-9.62,-15.4,20180121
ETH,101943840318.53,1049.58,97128114,3378094848.0,1.62,-8.66,-22.02,20180121
XRP,53461573182.6,1.38,38739142811,2840753152.0,0.41,-11.97,-25.7,20180121
ADA,15897526388.2,0.6132,25927070538,847731136.0,1.03,-12.67,-23.06,20180121
LTC,10446768151.11,190.42,54861458,463516128.0,1.16,-9.25,-20.54,20180121
USDT,1617866393.79,0.9999,1618090823,3302010112.0,-0.88,-0.58,-1.75,20180121
BNB,1392955375.73,14.07,99014000,141562384.0,2.09,-12.9,-33.7,20180121
DOGE,804876841.19,0.007131,112867799719,22933130.0,1.31,-14.78,-38.48,20180121
BTC,183866969906.91,10931.43,16820025,10537360384.0,1.69,-5.89,-20.35,20180122
ETH,97465762922.31,1003.26,97148979,3810097920.0,1.56,-4.73,-21.96,20180122
XRP,52582399690.29,1.3573,38739142811,2642510592.0,7.91,-2.75,-20.03,20180122
ADA,14790304673.72,0.5705,25927070538,522983712.0,1.18,-7.08,-26.68,20180122
LTC,9878104848.84,180.01,54875983,494090624.0,1.75,-5.78,-22.18,20180122
USDT,1626238172.38,1.005,1618090823,3274904320.0,0.26,-0.16,-0.43,20180122
BNB,1288629473.15,13.01,99014000,138026288.0,2.52,-7.79,-31.53,20180122
DOGE,760096514.8,0.006734,112881742908,19968560.0,1.17,-6.2,-30.6,20180122
BTC,182829853064.04,10868.38,16822187,9660608512.0,-2.54,0.38,-2.65,20180123
ETH,95831383654.86,986.23,97169480,3556702464.0,-2.12,-0.82,-2.47,20180123
XRP,51797065292.86,1.3371,38739142811,2977076480.0,-3.27,2.55,15.11,20180123
ADA,14598754042.18,0.5631,25927070538,375957696.0,-2.77,-0.34,-2.92,20180123
LTC,9759881977.19,177.81,54890283,441765376.0,-2.13,-0.14,-3.89,20180123
USDT,1626268456.34,1.0051,1618090823,3126828544.0,0.19,0.16,-2.91,20180123
BNB,1296442844.26,13.09,99014000,91706248.0,-3.13,2.21,-0.34,20180123
DOGE,753393900.56,0.006673,112895859690,17882744.0,-2.83,-0.31,-1.65,20180123
BTC,191114952933.31,11359.38,16824412,9940993024.0,1.29,3.9,1.89,20180124
ETH,102903036553.73,1058.78,97190015,3944038400.0,1.84,7.08,6.52,20180124
XRP,52574946132.26,1.3572,38739142811,1853444864.0,1.35,0.64,6.01,20180124
ADA,16132041502.95,0.6222,25927070538,689837888.0,1.68,10.17,1.17,20180124
LTC,9882192269.78,179.99,54905108,375948672.0,0.23,0.7,-1.37,20180124
USDT,1614019752.35,0.9975,1618090823,2620630016.0,-0.69,-0.7,-2.0,20180124
BNB,1349429672.08,13.63,99014000,105736320.0,1.38,3.3,-1.91,20180124
DOGE,799755801.71,0.007083,112909741077,17449948.0,0.92,5.54,-3.64,20180124
BTC,189455967127.34,11259.44,16826412,8873166848.0,-0.19,-0.7,-2.74,20180125
ETH,102657370981.83,1056.03,97210363,4050194176.0,-0.68,0.11,0.93,20180125
XRP,50834858979.4,1.3122,38739142811,986067520.0,-0.63,-2.82,-18.85,20180125
ADA,16528380438.25,0.6375,25927070538,654813696.0,-0.16,2.03,-3.69,20180125
LTC,9900479711.84,180.27,54919558,363138080.0,0.01,-0.06,-7.44,20180125
USDT,1617434895.6,0.9996,1618090823,2571926016.0,-0.08,-0.49,-2.41,20180125
BNB,1309798236.82,13.23,99014000,105647504.0,-0.05,-2.76,-8.98,20180125
DOGE,865745024.04,0.007667,112923670742,21329418.0,-0.44,8.09,-4.42,20180125
BTC,187995827684.26,11171.4,16828312,9746199552.0,2.45,-1.23,-4.75,20180126
ETH,102595155691.0,1055.17,97230786,3617694976.0,1.74,-0.46,0.14,20180126
XRP,47155923126.29,1.2173,38739142811,2037574144.0,1.47,-7.48,-20.72,20180126
ADA,16162479185.89,0.6234,25927070538,810062336.0,2.13,-2.44,-4.28,20180126
LTC,9709012188.91,176.73,54935808,375476768.0,1.7,-2.05,-9.12,20180126
USDT,1624788785.97,1.0041,1618090823,2957005824.0,0.15,0.5,-0.19,20180126
BNB,1308784278.53,13.22,99014000,113428864.0,2.51,-0.38,-12.07,20180126
DOGE,817296108.88,0.007237,112937599450,19572252.0,1.86,-6.08,-9.68,20180126
BTC,192550405862.91,11440.69,16830312,7583267840.0,-0.57,3.41,-10.6,20180127
ETH,107663621168.08,1107.07,97251223,3002874112.0,-1.03,5.57,-3.3,20180127
XRP,47227420019.33,1.2191,38739142811,689101312.0,-0.53,0.68,-21.82,20180127
ADA,15992662691.89,0.6168,25927070538,331309152.0,-1.21,0.11,-11.48,20180127
LTC,9939999261.62,180.89,54951858,291633152.0,-0.37,3.04,-13.28,20180127
USDT,1607289769.4,0.9933,1618090823,2051982464.0,-0.48,-0.95,-1.39,20180127
BNB,1312237100.19,13.25,99014000,84009424.0,-0.37,1.3,-16.77,20180127
